opensecrets_cid	name	state	party	first_elected
N00044434	Tommy Tuberville	AL	R	2020
N00043290	Rick Scott	FL	R	2018
N00037034	Roger Marshall	KS	R	2016
N00026823	John Kennedy	LA	R	2016
N00043298	Cindy Hyde-Smith	MS	R	2018
N00041620	Josh Hawley	MO	R	2018
N00033085	Ted Cruz	TX	R	2012
N00029788	Cynthia Lummis	WY	R	2008
